_id,cdliNumber,bmIdNumber,accession,genre,fincke,publicationPlace,joins,subcollection,description,length,width,thickness,collection,script,date,folio,register,transliteration,notes
"K.2075","P336258","311561","","","","NARGD 12 +","K.4289 + K.10476","","Fragment of a clay tablet, 5 lines of inscription which belong, perhaps, to the concluding column of a historical text, Neo-Assyrian.","2,85","2,54","","Kuyunjik","","","WGL 09782","","",""
"K.2102","P394193","311517","","","","","","","Fragment of a clay tablet, 25 lines of inscription, the text on reverse contains part of a colophon, while on obverse, apparently remains of an (explanatory ?) list of names of gods, Neo-Assyrian.","7,62","5,71","","Kuyunjik","","","WGL 09770","","",""
"K.2107","P394196","311512","","","","","K.6086 + SM.1720","","Fragment of a clay tablet, 2 + 3 columns of inscription, parts of a list of names of gods, and temples, epithets being.added by the scribe, Neo-Assyrian.","8,89","10,16","","Kuyunjik","","","WGL 09145-6","","",""
"K.2113","P394198","311506","","","","","","","Fragment of a clay tablet, 10 lines of inscription which belong to a text containing incantations concerning gods, Neo-Assyrian.","5,71","4,12","","Kuyunjik","","","WGL 09784","","",""
"K.2157","P238147","311462","","astr omens","","","","","Fragment of a clay tablet, an astrological text, Late Babylonian.","5,39","2,85","3,17","Kuyunjik","NB","","WGL 09923","","",""
"K.2291","P394326","311328","","","","","","","Right-hand corner of a clay tablet, Fragment of a mythological text. Neo-Assyrian.","4,12","3,81","2,54","Kuyunjik","","","WGL 09679 ₤ WGL 09783","","",""
"K.2369","P394379","311225","","","","","","","Fragment from the middle of a clay tablet, probably forecasts. Neo-Assyrian.","8,25","5,08","1,27","Kuyunjik","","","WGL 09807","","",""
"K.2381","P394387","311213","","","","","K.8141 + K.11092 + DT.77","","Left-hand corner of a clay tablet, astrological forecasts concerning observations of the moon and stars. Neo-Assyrian.","7,62","7,3","1,9","Kuyunjik","","","WGL 09648","","",""
"K.2393","P394397","311201","","","","","","","Fragment from the left half of a clay tablet, incantations. Neo-Assyrian.","7,3","4,76","2,22","Kuyunjik","","","WGL 09808","","",""
"K.2394","P394398","311200","","","","","","","Left-hand corner of a clay tablet, Fragment of a mythological text probably concerning religious ceremonies. Neo-Assyrian.","4,12","3,49","1,27","Kuyunjik","","","WGL 09808","","",""
"K.2445","P394438","311150","","","","","K.2975 + SM.1393 + K.2946 + K.9814 + SM.1594 + SM.33 + SM.272 + Rm-II.148","","Upper fragment of a clay tablet, with holes, prayers and incantations having an interlinear Assyrian version. Neo-Assyrian.","4,44","3,17","0,95","Kuyunjik","","","WGL 09814","","",""
"K.2482","P394459","311112","","","","","K.8154","","Left hand corner of a clay tablet. Incantations prayers and ceremonies. Neo-Assyrian.","7,93","6,03","3,49","Kuyunjik","","","WGL 09815","","",""
"K.2486","P394463","311108","","","","","K.4364 + K.3646 + K.10038","","Fragment of a clay tablet. Directions for verious rites. Neo-Assyrian.","11,43","9,52","2,85","Kuyunjik","","","WGL 09501","","",""
"K.2541","P394500","311053","","","","","K.13286 + K.10326","","Lower portion of a clay tablet. Regulations for offerings. Neo-Assyrian.","10,47","11,43","2,85","Kuyunjik","","","WGL 09789","","",""
"K.2580","P394526","311014","","","","","","","fragment of right half of a clay tablet. probably a portion of a omen text.Neo-Assyrian.","8,89","5,08","1,9","Kuyunjik","","","WGL 09820","","",""
"K.2594","P394536","311000","","","","UFBG ('Tašmetu 1')","","","Left hand corner of a clay tablet. Incantations. Neo-Assyrian.","5,39","1,9","1,9","Kuyunjik","","","WGL 09822","","",""
"K.2636","P394566","310959","","","","","","","Left hand corner of a clay tablet, belongs to a historical inscription. Neo-Assyrian.","4,44","4,44","2,22","Kuyunjik","","","WGL 09903","","",""
"K.2657","P394582","310938","","","","","","","Fragment of a clay tablet. Neo-Assyrian.","4,76","5,71","2,85","Kuyunjik","","","WGL 09823","","",""
"K.2670","P394591","310925","","","","","","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.","9,52","8,57","0,95","Kuyunjik","","","WGL 09282","","",""
"K.2753","P394652","310792","","","","","","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.","7,62","4,12","1,27","Kuyunjik","","","WGL 09829","","",""
"K.2758","P238177","310781","","bil inc","fragment (upper left and part of left edge; surface of the upper left edge is broken off); rev. 17 (catch-line ?): [...] LÚ.TUR DINGIR-šú mim-m[a ...];- partly dupl. to: K. 01283 (utukkū lemnūtu).","","","","Fragment of a clay tablet, 17 + 16 lines of inscription. Late Babylonian.","7,62","3,49","3,17","Kuyunjik","NB","","WGL 09832","","",""
"K.2792","P394650","310747","","","","","K.2751 + K.7973 + K.9242 + K.10011 + K.13785","","Fragment of a clay tablet, 2 columns of inscription, 16 lines in each. Neo-Assyrian.","7,62","6,03","1,9","Kuyunjik","","","WGL 09165 ₤ WGL 09477-9 ₤ WGL 10185-6","","",""
"K.2892","P238202","310574","","commentary (mukallimtu)","Nougayrol, RA 60 (1966) 72-74(mukallimtu-)commentary;K. 08397: list of gods;catalogue of mythological legends and other work","George, BTT 145ff., pl. 34 018c; cf. Lambert, MC 16, pp. 210, 494; cf. Frahm, GMTR 5, p. 260; AAT pl. 90 (K. 02892); Nougayrol, RA 60 (1966) 72-73 (K. 08397)","K.8397","","Fragment of a clay tablet, list of gods, 20 + 29 lines of inscription. Late Babylonian.","7,93","6,98","","Kuyunjik","NB","","WGL 09285-6","","",""
"K.2976","P394757","310468","","","","","","","Fragment of a clay tablet, 9 + 9 lines of inscription. Neo-Assyrian.","5,08","3,81","","Kuyunjik","","","WGL 08921-2","","",""
"K.3139","P238264","310249","","astr omens -colophon","Verderame, Enūma Anu Enlil I-VI, 2002, 1, 23-26, 33 (text a)EAE 1 colophon (sîn);upper left edge (brown clay (obv: 4+6+7.. lines; rev.: ..2+colophon: 4 lines)colophon: 3': DIŠ 30 ina [...], 4': DUB.1.KAM *UD* [...], 5': GABA.RI KÁ.DINGIR.[RA.KI ...], 6': šá a-na d.PA-_[_ ...]","AAT pl. 6 = ACh Sin 1[CDLI: AAT pl. 6 = ACh Sin 1, Verderame, Enuma Anu Enlil I-VI, 2002, 1, 23-26, 33 (text a)]","","","Fragment of a clay tablet, 16 + 6 lines of inscription. Late Babylonian.","6,03","5,71","","Kuyunjik","NB","","WGL 09866","","",""
"K.3350","P237527","309977","","rit inc - medical text - colophon","Thompson, Bab. 14 (1934) 148-149 (No. 181: K. 03350)medical ritual against skin diseases""if a man is sick and the surface of his disease is black"" (DIŠ NA GIG NÍG.TI.LA-ma IGI GIG-šú GE6 ŠUB); šumma amēlu marṣu ;upper right and left and lower left part (obv.: 5+1+3+3+5+2+4+2 lines; rev. 2+2+1+5+3+ colophon)","AMT 62, 3 (K. 03350)[CDLI: AMT 62,3 (K.03350), Thompson, Bab. 14 (1934) 148-149 (No. 181: K.03350)]","1905,0409.77; 98571","","Fragment of a clay tablet, 20 + 16 lines of inscription. Late Babylonian.","8,25","4,76","2,22","Kuyunjik","NB","","WGL 09459","","",""
"K.3384","P394975","309920","","","","","K.5990","","Fragment of a clay tablet, 13 + 12 lines of inscription. Neo-Assyrian.","5,08","4,44","1,9","Kuyunjik","","","WGL 09460","","",""
"K.3397","P394986","309907","","","","ZA 23, 370-73; UFBG ('Šamaš 38', 'Ea, Marduk 3')","DT.122 + K.13855 + K.3469 + K.13165","","Fragment of a clay tablet, 23 + 25 lines of inscription. Neo-Assyrian.","7,93","4,76","2,54","Kuyunjik","","","WGL 09789","","",""
"K.3399","P345485","309905","","","","CT 15, pl. 49, K 03399 +","K.3934 + K.18572 + K.16979 + K.8562 + K.10097 + K.10604 + K.12000.c + K.18479 + K.21851","","Fragment of a clay tablet, 19 lines of inscription. Neo-Assyrian.","9,84","8,89","2,22","Kuyunjik","","","WGL 09793 ₤ WGL 09509","","",""
"K.3622","P395127","309620","","","","UFBG ('Marduk 2', 'Lugalirra 2', 'Lugalirra 3', 'Nusku 2', 'Nusku 4')","1876,1117.156; 30430 + K.5195 + K.19341 + K.5306 + K.10615 + K.12829 + K.14701 + K.7429 + K.5313 + K.11931 + K.5324","","Fragment of a clay tablet, 9 + 12 lines of inscription. Neo-Assyrian.","4,76","3,81","1,9","Kuyunjik","","","WGL 09972","","",""
"K.3723","P395196","309488","","","","","","","Fragment of a clay tablet, 18 + 5 lines of inscription. Neo-Assyrian.","12,06","8,89","2,85","Kuyunjik","","","WGL 09656","","",""
"K.3753","P395217","279024","","","","Gestirndarstellungen pl. 11-12","","","Fragment of a clay tablet, 22 + 10 lines of inscription. Late Babylonian. A calendar of festivals for the second half of the year. Dated 21/4/64 Antiochus.","16,51","10,79","3,49","Kuyunjik","","","WGL 09624-26","","",""
"K.3794","P395234","309392","","","","","1904,1009.157; 99127","","Fragment of a clay tablet, 9 + 1 lines of inscription. Neo-Assyrian.","10,79","10,16","2,85","Kuyunjik","","","WGL 10183-4","","",""
"K.3852","P238299","309312","","astrological","Hunger - Pingree, MUL.APIN, text FMUL.APIN I i 19-28, iv 29-38.-> jf (2003): (+) K. 12376.","Hunger - Pingree, MUL.APIN, pl. I, XVI","","","Fragment of a clay tablet, astrological, 10 + 8 lines of inscription. Late Babylonian.","5,08","2,54","2,54","Kuyunjik","NB","","WGL 10230","","",""
"K.3896","P395295","309239","","","","","K.5289","","Fragment of a clay tablet, omen, 10 lines of inscription. Neo-Assyrian.","5,08","4,12","0,95","Kuyunjik","","","WGL 10048","","",""
"K.4027","P395363","309019","","","","","","","Fragment of a clay tablet, astrological, 41 lines of inscription. Neo-Assyrian.","12,06","6,03","1,9","Kuyunjik","","","WGL 09867","","",""
"K.4177","P395436","308788","","","","","K.4402 + SM.63","","Fragment of a clay tablet, lists, 31 lines of inscription. Neo-Assyrian.","6,35","7,62","2,54","Kuyunjik","","","WGL 09974","","",""
"K.4334","P395487","308487","","","","","","","Fragment of a clay tablet, list of gods, 36 + 23 lines of inscription. Neo-Assyrian.","17,78","15,24","2,85","Kuyunjik","","","WGL 09542","","",""
"K.4347","P395493","308473","","","","BWL pl. 61, K 04347+","K.8377 + K.16161","","Fragment of a clay tablet. Bilingual grammatical list, 40 + 45 lines of inscription. Neo-Assyrian.","20","11,11","2,54","Kuyunjik","","","WGL 09692","","",""
"K.4434.A","P395546","308203","","","","","","","Fragment of a clay tablet, list of gods, 21 + 5 lines of inscription. Neo-Assyrian.","11,43","9,52","1,58","Kuyunjik","","","WGL 09763","","",""
"K.4634","P395671","307975","","","","","","","Fragment of a clay tablet. Bilingual, 6 lines of inscription. Neo-Assyrian.","6,98","4,44","","Kuyunjik","","","WGL 09865","","",""
"K.4899","P384991","307686","","","","OECT 06, pp. 35-36, K 04899","K.13742 + K.6095 + K.5815","","Fragment of a clay tablet. Bilingual, 17 lines of inscription. Neo-Assyrian.","8,57","7,93","1,27","Kuyunjik","","","WGL 08990","","",""
"K.4918","P395788","307667","","","","","K.5125 + K.5233 + K.5145 + K.5342 + K.6046 + K.8417 + K.13426 + K.13519 + K.17835 + K.21847 + K.5004 + K.5029 + K.5275 + K.13556","","Fragment of a clay tablet with cuneiform inscription. The text belongs to the medical series called 'rubbing'. Bilingual, 13 lines of inscription. Neo-Assyrian.","4,44","2,54","1,27","Kuyunjik","","","WGL 10168","","",""
"K.4924","P395792","307661","","","","","","","Fragment of a clay tablet. Bilingual, 13 + 3 lines of inscription. Neo-Assyrian.","6,66","5,71","1,9","Kuyunjik","","","WGL 09847","","",""
"K.4925","P418111","307660","","","","","K.4809","","Fragment of a clay tablet. Bilingual, 15 + 7 lines of inscription. Neo-Assyrian.","7,62","5,08","2,54","Kuyunjik","","","WGL 09845","","",""
"K.4951","P395804","307633","","","","","","","Fragment of a clay tablet. Bilingual, 7 lines of inscription. Neo-Assyrian.","5,08","4,76","1,27","Kuyunjik","","","WGL 09866","","",""
"K.4968","P395813","307617","","","","","","","Fragment of a clay tablet. Bilingual, 9 lines of inscription. Neo-Assyrian.","4,76","4,76","2,54","Kuyunjik","","","WGL 09866","","",""
"K.4987","P395824","307598","","","","","","","Fragment of a clay tablet. Bilingual, 16 lines of inscription. Neo-Assyrian.","6,03","3,17","1,58","Kuyunjik","","","WGL 09847","","",""
"K.5004","P395830","307581","","","","","K.4918 + K.5125 + K.5233 + K.5145 + K.5342 + K.6046 + K.8417 + K.13426 + K.13519 + K.17835 + K.21847 + K.5029 + K.5275 + K.13556","","Fragment of a clay tablet. Bilingual, 7 lines of inscription. Neo-Assyrian.","4,44","2,54","0,95","Kuyunjik","","","WGL 09862","","",""
"K.5041","P418122","307545","","","","","K.2109 + K.8944 + K.13689 + K.6093 + K.14753 + K.2121 + K.7649 + K.16225 + K.17081 + K.13703 + K.16880 + K.18864","","Fragment of a clay tablet. Bilingual, 12 lines of inscription. Neo-Assyrian.","6,35","3,81","0,95","Kuyunjik","","","WGL 09995","","",""
"K.5046","P395851","307540","","","","","K.5310 + K.18501","","Fragment of a clay tablet. Bilingual, 9 lines of inscription. Neo-Assyrian.","3,17","2,85","0,63","Kuyunjik","","","WGL 10133","","",""
"K.5066","P395859","307497","","","","","","","Fragment of a clay tablet. Bilingual, 8 lines of inscription. Neo-Assyrian.","3,81","3,49","1,27","Kuyunjik","","","WGL 09903","","",""
"K.5080","P395867","307479","","","","","","","Fragment of a clay tablet. Bilingual, 6 lines of inscription. Neo-Assyrian.","3,17","1,9","0,63","Kuyunjik","","","WGL 09923","","",""
"K.5118","P395798","307424","","","","","K.4940 + K.6020","","Fragment of a clay tablet. Bilingual, 16 + 2 lines of inscription. Neo-Assyrian.","8,25","7,3","3,17","Kuyunjik","","","WGL 09001","","",""
"K.5122","P395894","307418","","","","","","","Fragment of a clay tablet. Bilingual, 15 lines of inscription. Neo-Assyrian.","6,35","5,39","0,95","Kuyunjik","","","WGL 09867","","",""
"K.5132","P238366","307402","","bil inc","lower left edge of reverse;catch-line: KA.INIM.MA DINGIR ŠUR2-RA ŠIT-x[..] // EN2 d.nin-šar GIR2.LA2 x[..]","","","","Fragment of a clay tablet. Bilingual, 6 lines of inscription. Late Babylonian.","4,76","3,81","0,95","Kuyunjik","NB","","WGL 09882","","",""
"K.5147","P395910","307388","","","","","","","Fragment of a clay tablet. Bilingual, 13 + 8 lines of inscription. Neo-Assyrian.","6,35","6,35","2,54","Kuyunjik","","","WGL 09223","","",""
"K.5156","P395916","307353","","","","CT 16, pl. 19-23, K 05156+","K.5220 + K.12833 + K.14066","","Fragment of a clay tablet. Bilingual, 4 lines of inscription. Neo-Assyrian.","3,81","3,17","1,58","Kuyunjik","","","WGL 10112","","",""
"K.5184","P335913","307301","","","","ADD 1107","","","Fragment of a clay tablet. Bilingual, 11 + 7 lines of inscription. Neo-Assyrian.","5,39","3,49","","Kuyunjik","","","WGL 10131","","",""
"K.5225","P395946","307260","","","","","","","Fragment of a clay tablet. Bilingual, 8 lines of inscription. Neo-Assyrian.","9,84","6,35","1,9","Kuyunjik","","","WGL 09865","","",""
"K.5243","P357111","307243","","","","","K.5885","","Fragment of a clay tablet. Bilingual, 27 lines of inscription. Neo-Assyrian.","10,16","7,62","2,22","Kuyunjik","","","WGL 09921","","",""
"K.5337","P238393","307096","","bil pr","cf. Maul, Herzberuhigungsklagen, 1988, 104 (K. 05337+ K. 18651+ K. 19380)balag;middle part section of obverse; lines are ruled","","K.18651 + K.19380 + K.17424","","Fragment of a clay tablet. Bilingual, 15 lines of inscription. Late Babylonian.","4,44","5,08","","Kuyunjik","NB","","WGL 10134","","",""
"K.5342","P395788","314010","","","","","K.4918 + K.5125 + K.5233 + K.5145 + K.6046 + K.8417 + K.13426 + K.13519 + K.17835 + K.21847 + K.5004 + K.5029 + K.5275 + K.13556","","Fragment of a clay tablet. Bilingual, 6 lines of inscription. Neo-Assyrian.","2,54","2,54","","Kuyunjik","","","WGL 09845 ₤ WGL 09936","","",""
"K.5345","P396002","314007","","","","","K.16933","","Fragment of a clay tablet. Bilingual, 10 lines of inscription. Neo-Assyrian.","3,81","2,22","","Kuyunjik","","","WGL 10134","","",""
"K.5349","P238398","314002","","rit inc ","Meier, Maqlû, 1937, 34-40 (K. 05349: maqlû V ll. 80-86);cf. Meier, AfO 21 (1966) 76 (text E2)maqlû 5, 80-86;fragment of obverse with part of the lower edge of a 2 column tablet","Maqlu V; Geers Heft Am p. 039 (K. 10161); Meier, Maqlû, 1937, 34-40 (K.05349: maqlû V ll. 80-86); cf. Meier, AfO 21 (1966) 76 (text E2)","K.10161","","Fragment of a clay tablet. Bilingual, Late Babylonian, 6 lines of inscription.","3,81","3,49","","Kuyunjik","NB","","WGL 09013","","",""
"K.5410.A","P396016","313897","","","","","","","Fragment of a clay tablet. Bilingual, 20 lines of inscription. Neo-Assyrian.","6,35","5,08","","Kuyunjik","","","WGL 09819","","",""
"K.5440.A","P396030","313803","","","","BAM 5, 461; UFBG ('Lugalirra, Meslamtaea 2')","1882,0522.123","","Fragment of a clay tablet, 12 + 14 lines of inscription. Late Babylonian.","5,08","3,81","","Kuyunjik","","","WGL 09710-11","","",""
"K.5611","P313712","313572","","","","CT 53, 297","","","Fragment of a clay tablet, 6 + 8 lines of inscription. Neo-Assyrian.","3,49","1,9","","Kuyunjik","","","WGL 09008","","",""
"K.5708.A","P336609","313435","","","","SAA 03, 052","","","Fragment of a clay tablet, 5 lines of inscription. Neo-Assyrian.","5,08","3,81","","Kuyunjik","","","WGL 10041","","",""
"K.5711","P335710","313431","","","","","K.4753 + 1881,0204.268","","Fragment of a clay tablet, 9 lines of inscription. Neo-Assyrian.","3,81","2,54","","Kuyunjik","","","WGL 10000","","",""
"K.5759","P238546","313383","","astr omens","EAE : various stars","","","","Fragment of a clay tablet, 6 lines of inscription. Late Babylonian.","2,54","0,63","","Kuyunjik","NB","","WGL 09676","","",""
"K.5765","P396148","313377","","","","","","","Fragment of a clay tablet, 7 lines of inscription. Neo-Assyrian.","4,44","3,81","","Kuyunjik","","","WGL 09861","","",""
"K.5766","P396149","313376","","","","","","","Fragment of a clay tablet, 5 lines of inscription. Neo-Assyrian.","4,44","4,44","","Kuyunjik","","","WGL 09861","","",""
"K.5773","P238548","313369","","report;","lower left edge;rev. 3: [...] NÍG.GIG GAR.-> Dietrich, CT 54, 1997, 7: not a letter.","","","","Fragment of a clay tablet, 9 lines of inscription. Late Babylonian.","3,17","2,54","","Kuyunjik","NB","","WGL 09342","","",""
"K.5780.A","P396160","313362","","","","","","","Fragment of a clay tablet, 11 lines of inscription. Neo-Assyrian.","3,49","0,63","","Kuyunjik","","","WGL 09359","","",""
"K.5885","P418140","313254","","","","","K.5243","","Fragment of a clay tablet, 9 lines of inscription. Neo-Assyrian.","5,08","3,17","","Kuyunjik","","","WGL 09861 ₤ WGL 09847","","",""
"K.5981","P396301","313111","","","","","","","Fragment of a clay tablet, 8 + 8 lines of inscription. Neo-Assyrian.","3,81","5,08","","Kuyunjik","","","WGL 09080","","",""
"K.6007","P396312","313066","","","","","","","Fragment of a clay tablet, 20 lines of inscription. Neo-Assyrian.","9,84","5,71","","Kuyunjik","","","WGL 09007","","",""
"K.6019","P394400","313049","","","","BMS 5; UFBG ('Madanu 1', 'Ištar 1', 'Zappu 1', StZ 'Anu 1')","K.2396 + K.3893 + K.7243 + K.3103 + K.8116 + K.9083","","Fragment of a clay tablet, 18 lines of inscription. Neo-Assyrian.","7,3","6,66","","Kuyunjik","","","WGL 08926","","",""
"K.6177","P238626","312874","","epic - rel","cf. Meissner - Rost, BS, 1893, 119 (K. 06177); George, Iraq 48 (1986) 133-144; Frahm, Sanherib, 1997, 220-221 (T 182)Sennacherib's ""tablet of destinies"" (ṭuppi šīmāti) - Aššur is holding the cosmic cable (""bond"") of heaven and underworld; fragmentary (lower part of the 1 column tablet)","George, Iraq 48 (1986) 135[CDLI: Iraq 48,135, cf. Meissner - Rost, BS, 1893, 119 (K.06177); George, Iraq 48 (1986) 133-144; Frahm, Sanherib, 1997, 220-221 (T 182) ]","K.8869","","Fragment of a clay tablet, 18 lines of inscription. Late Babylonian.","5,39","6,35","","Kuyunjik","NB","","WGL 09982, 9988","","",""
"K.6216","P396387","312835","","","","","","","Fragment of a clay tablet, 11 lines of inscription. Neo-Assyrian.","6,98","3,81","","Kuyunjik","","","WGL 09865","","",""
"K.6381","P396496","312683","","","","","","","Fragment of a clay tablet, 5 lines of inscription. Neo-Assyrian.","2,85","2,22","","Kuyunjik","","","WGL 09273","","",""
"K.6438","P396533","312628","","","","","","","Fragment of a clay tablet, 6 lines of inscription. Neo-Assyrian.","2,85","3,17","","Kuyunjik","","","WGL 10043 ₤ WGL 10158","","",""
"K.6507","P396590","312560","","","","","","","Fragment of a clay tablet, 14 lines of inscription. Neo-Assyrian.","3,81","6,35","","Kuyunjik","","","WGL 09840 ₤ WGL 10099","","",""
"K.6522","P396601","312546","","","","","","","Fragment of a clay tablet, 16 lines of inscription. Neo-Assyrian.","3,81","5,71","","Kuyunjik","","","WGL 10043","","",""
"K.6727","P396755","310739","","","","","","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.","5,08","4,44","","Kuyunjik","","","WGL 09862","","",""
"K.6813","P396818","310533","","","","","","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.","3,81","5,08","","Kuyunjik","","","WGL 09214 ₤ WGL 09889","","",""
"K.6845","P396840","310374","","","","","","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.","3,81","4,12","","Kuyunjik","","","WGL 09947 ₤ WGL 09958","","",""
"K.6846","P396841","310373","","","","","","","Fragment of a clay tablet, 9 lines of inscription. Neo-Assyrian.","5,92","5,71","","Kuyunjik","","","WGL 09958","","",""
"K.7152","P397068","309192","","","","","","","Fragment of a clay tablet, 9 lines of inscription. Neo-Assyrian.","5,39","3,81","","Kuyunjik","","","WGL 09867","","",""
"K.7528","P313803","308311","","","","CT 53, 389","","","Fragment of a clay tablet, 8 lines of inscription. Neo-Assyrian.","2,54","2,54","","Kuyunjik","","","WGL 09227","","",""
"K.7592","P334929","308231","","","","ABRT 1, 29 - 30","1904,1009.205; 99173 + DT.363 + K.8717","","Fragment of a clay tablet, 27 + 25 lines of inscription. Neo-Assyrian.","6,35","10,79","","Kuyunjik","","","WGL 09978-80","","",""
"K.7602","P397214","308084","","","","","K.13537 + 1881,0204.430 + K.21388","","Fragment of a clay tablet, 4 + 3 columns, 10 + 34 + 22 + 16 and 19 + 19 + 3 lines of inscription. Neo-Assyrian.","9,52","13,33","","Kuyunjik","","","WGL 09231-3","","",""
"K.7620","P368621","308060","","","","CT 25, pl. 24, K 07620","","","Fragment of a clay tablet, 19 lines of inscription. Neo-Assyrian.","3,81","5,71","","Kuyunjik","","","WGL 09770","","",""
"K.7979","P336245","306498","","","","","","","Part of a clay tablet, 17 lines of inscription, Neo-Assyrian.","5,39","8,25","","Kuyunjik","","","WGL 09932","","",""
"K.8128","P397503","305171","","","","","","","Fragment of a clay tablet, 12 lines of inscription. Neo-Assyrian.","8,25","6,35","","Kuyunjik","","","WGL 09070","","",""
"K.8140","P397509","305159","","","","","","","Fragment of a clay tablet, 29 lines of inscription. Neo-Assyrian.","6,98","9,2","","Kuyunjik","","","WGL 08933","","",""
"K.8208","P418222","305092","","","","","K.4615 + K.4847 + K.13524 + K.20098 + K.4958 + K.5947 + K.11068 + K.17479 + K.7571 + K.7171 + K.6598 + K.13763","","Fragment of a clay tablet, 10 lines of inscription. Neo-Assyrian.Fragment from the middle. Part of an incantation text with an interlinear Assyrian version.","4,12","3,81","","Kuyunjik","","","WGL 09517","","",""
"K.8261","P397555","304842","","","","","","","Fragment of a clay tablet, 9 lines of inscription. Neo-Assyrian.Fragment of the upper portion of one side. Bilingual paradigms. The subject matter appears to be of a religious character.","5,08","5,08","","Kuyunjik","","","WGL 09516","","",""
"K.8283","P395969","304683","","","","","K.5274","","Fragment of a clay tablet, 13 lines of inscription. Neo-Assyrian.Fragment of the upper portion of one side. Part of an incantation-text with an interlinear Assyrian version.","5,08","5,08","","Kuyunjik","","","WGL 09516","","",""
"K.8318","P397580","304599","","","","","","","Fragment of a clay tablet, 7 lines of inscription. Neo-Assyrian.Fragment from the middle. Forecasts(?).","3,49","3,49","","Kuyunjik","","","WGL 09515","","",""
"K.8320","P397582","304597","","","","","","","Fragment of a clay tablet, 8 lines of inscription. Neo-Assyrian.Fragment of the right half. Grammatical paradigms. The subject matter seems to be of a mythological character.","3,81","2,54","","Kuyunjik","","","WGL 09515","","",""
